Language,Released Year,Programming Paradigm,Computational Class,Usability,Technical Characteristics,Specific Language Types or Features
Von Neumann's 29-state cellular automaton,,,turing complete; turing tarpits,,cell-based; cellular automata,languages; two-dimensional languages; low-level
TRAVEL 33,,,,,,languages
Nestplate,,,turing complete,no io,,languages; low-level
D'ni,2018,declarative paradigm,,,,languages
Pxem,2008,,turing complete,implemented,stack-based,languages
Ⅎ,2018,functional paradigm,turing tarpits,output only; unimplemented,,languages
D.U.C.K.,,,unknown computational class,unimplemented,,languages
ESOPUNK,,,turing complete,implemented,,languages
SeMo-PATH,,,turing complete,,cell-based,languages; two-dimensional languages
Flow of Holes,2018,,turing complete,output only; unimplemented,,languages; high-level
Amicus,2015,functional paradigm,turing complete,implemented; unimplemented; no io,,languages
La Weá,,,turing complete,implemented,,languages
Rockstar,2018,,turing complete,implemented,,joke languages; thematic; languages
Falsebrain9Q+Fishload,,,turing complete,,,languages
MineFriff,2018,,,implemented,stack-based,two-dimensional languages; languages
ΙΧΘΥΣ,2018,,turing complete,implemented; output only,,languages; deadfish derivatives; thematic
Precognition,2018,declarative paradigm,turing complete,unimplemented,,languages
LMCode,,,,implemented,cell-based,languages; low-level
TPLHBPTBOTEW,2018,,unknown computational class,unimplemented; output only,,languages
TEPCS,2018,,,output only,,languages; high-level
Keg,2018,,turing complete,implemented,stack-based,languages; golfing language
W,2018,,,,,joke languages; languages
Brainfoctal,2018,,turing complete,implemented,,languages; brainfuck equivalents
Ahead,2018,,,,,two-dimensional languages; languages
Snigl,,,,implemented,stack-based,languages
Apple Pie,2018,,,unusable for programming; total; output only; implemented,,languages; thematic
High Rise,2018,,turing complete; unknown computational class,no io; implemented,,languages; low-level
Doreq,,,turing complete,,cell-based,languages; low-level
Echo Tag,2018,,turing complete,no io; unimplemented,queue-based,languages; low-level
An Odd Rewriting System,2018,,turing complete,no io; implemented,,languages; low-level
A-DU,2018,,,implemented,cell-based,languages; thematic
Grime MC,2018,,,unimplemented,,languages; thematic
2C,2018,,turing complete,no io; unimplemented,cell-based,languages; low-level
HARSH,2018,,turing complete,implemented,stack-based,languages
Hurgusburgus,2018,,unknown computational class,unimplemented,deque-based; concurrent programming,languages
Simpler Subskin,2018,,unknown computational class,unimplemented,,languages; low-level
Blindfolded Arithmetic,2018,,turing complete,unimplemented,,languages
Re:direction,2018,,turing complete,implemented,queue-based,languages; two-dimensional languages; low-level
LolKek,2019,,turing complete,unimplemented,,brainfuck derivatives; languages; low-level
Flatland,2018,,unknown computational class,unimplemented,stack-based,languages; low-level; two-dimensional languages
DukkTap,2018,,,output only,cell-based,languages
ᚱᚢᚾᛅᛦ,2018,,,,,languages; two-dimensional languages
Nellephant,2019,,,unimplemented,,languages; low-level
P0pCrn,,,,,,languages
AlgorE,,,,unimplemented,,languages
PixelCode,,,,implemented,graphical output,languages; brainfuck derivatives
Quite,2019,,,unusable for programming,,languages
1.1,,,turing complete,implemented,,languages
11CORTLANG,2019,,,total; implemented,stack-based,languages
Cthulhu,2019,object-oriented paradigm,,implemented,,languages
SPADE,2019,,,implemented,,languages
ElemScript,2019,,,,stack-based,thematic; languages
2/9 of an esolang,2019,,,unimplemented,,languages
Analogia,2019,,unknown computational class,unimplemented,,languages; low-level
Print Function Deluxe,2019,,,implemented,,languages
Bitwise Trance,2019,,,implemented,,languages
Generic 2D Befunge,2018,,,,,two-dimensional languages; languages
Minaac,2019,,turing complete,implemented,cell-based,languages; high-level
Pizza Delivery,2019,,finite state automata,implemented,cell-based,languages; thematic
BitBounce,2019,,,implemented,,languages
Pyhton (sic),2019,,,implemented,,languages
Caeos,2019,,,implemented,,languages
ALLSCII,2019,,unknown computational class,implemented,stack-based,languages; low-level
Headshot!,,,,,,languages
Grr,2018,declarative paradigm,turing complete; turing tarpits,output only,,languages
Lawrence J. Krakauer's decimal computer,,,,implemented,,languages; low-level
Functasy,2019,functional paradigm,turing complete,implemented,,languages
A,,,turing tarpits; turing complete,implemented,cell-based,brainfuck equivalents; languages; low-level
Chem,2019,,unknown computational class,unimplemented,stack-based,languages; thematic
"No Literals, Gotos Only, Final Destination!",2019,,turing complete; turing tarpits,implemented,,languages
Dimensional,2022,,unknown computational class,unimplemented,cell-based; multi-dimensional languages,joke languages; low-level
Bitdeque,,,turing complete; turing tarpits,no io; implemented,deque-based,languages
Polytran,2019,,unknown computational class,unimplemented,,languages
Entish,2019,,turing complete,implemented,stack-based,high-level; languages
BTree,2019,,turing complete,implemented,deque-based,languages
Fastlane,2019,,turing complete,implemented,,languages
The Genius from Kiev,2019,,,,,languages; thematic
Bur,2018,,,implemented; output only,stack-based,languages
((?)?)?,,,,implemented; usability unknown,,languages
Turing Machine But Way Worse,2018,,turing complete,implemented,,languages
(?!),2019,,,output only; implemented,,languages
Elevator,2019,,,unimplemented,,languages; thematic
Shark,2019,,,implemented,,languages; low-level
Examinable Invocation Vector,2019,functional paradigm,turing complete,implemented,,languages
1=0,,,,,,languages
Point,2019,,turing complete,,stack-based,languages
Jungle,2019,,,implemented,,languages; low-level
Stæck,2019,,turing complete,implemented,stack-based,languages
Curlyfrick,2019,,turing complete,implemented,,languages
Blockfunge,2019,object-oriented paradigm; functional paradigm,unknown computational class,implemented,,languages; two-dimensional languages; high-level
Virage,2019,,turing complete; turing tarpits,implemented,stack-based,low-level; two-dimensional languages; languages
MUSYS,,,,,,languages
Adar,2019,,finite state automata,implemented; no io,,low-level; languages
Apsw,2019,,turing complete; turing tarpits,implemented; output only,,languages
Suich,2019,,turing complete,implemented,,languages; two-dimensional languages
Photon,2019,,,,,languages; low-level
Rook,2019,,turing tarpits; turing complete,output only,,languages
Punctree,2019,,unknown computational class,implemented,stack-based,languages
DubDubMachine,2019,,,implemented,cell-based; emoji,low-level|low-level; low-level; languages; brainfuck_derivatives; thematic
Rotpai,2019,,unknown computational class,implemented,,languages
Pistons & Pistons,2019,,unknown computational class,unimplemented; output only,,two-dimensional languages; low-level
DDR,2019,,,implemented,,languages; brainfuck derivatives
Screw,2019,,turing complete,,cell-based,languages; brainfuck derivatives
Codd,2019,,turing complete,output only,,languages
Punc,2019,,,implemented,,languages
Klaus,2019,declarative paradigm,turing complete,unimplemented,,languages; high-level
Kepler,2019,,,,deque-based,languages; golfing language
Realm,2019,,turing complete,implemented,,languages
Gregorovich,2019,,unknown computational class,unimplemented; output only,stack-based,languages
Varnand,,,,implemented,,languages
Char,2019,,,unimplemented,,languages
Dbondb,,,,implemented,,languages
ערימה,2019,,turing complete,unimplemented,stack-based,languages; high-level
Seabass,,,,implemented,,languages
Sidex,2019,,,unimplemented,,languages
KeyVM,2019,,turing complete,implemented,stack-based,low-level; languages
ACL,2019,,turing complete,implemented,cell-based,low-level; languages
What Mains Numbers?,2019,,finite state automata,,,languages
Brace For Impact,2019,,turing complete,unimplemented,stack-based,
Your Pillows,2019,,,unimplemented,stack-based,languages
Forget,,,,implemented,stack-based,languages
256,2019,,unknown computational class,implemented,stack-based,golfing language; languages
MetaGlow,2019,,,,,languages
Multi-Set Manipulator,2019,,,unimplemented,,languages
Braincells,2019,,unknown computational class,unimplemented; usability unknown,concurrent programming; cell-based,languages; thematic; brainfuck derivatives
Gulp,2019,,,,deque-based,golfing language; languages
FAKE,,,,unimplemented,stack-based,languages; low-level
Compressed Malbolge,2019,,turing complete,implemented,cell-based,languages
Wagon,2019,,turing complete,no io,stack-based,languages; stubs
Edition,2019,,,unimplemented,,languages
Husk,2015,functional paradigm,,,,languages; golfing language
Brainflop,2019,,turing complete; turing tarpits,implemented,cell-based,languages; low-level
SIMPLE (preprocessor),1998,,turing complete,implemented; output only,,languages
Beets,2019,,,implemented,,languages
Grid,2019,,turing complete,implemented,,languages
ASCII @,2019,,,unimplemented,,languages; golfing language
Intramodular Transaction,2019,declarative paradigm,turing_complete,implemented,,languages
Troll Online,2019,,,,,languages
Echidna,2019,,,implemented,,languages; low-level
Encapsulation,2019,,turing_complete,implemented,,languages
Aepoch,,,,unimplemented,,two-dimensional languages; languages
Print,,,,,,languages
The Subtyping Machine,2017,,turing complete,no io,stack-based,languages; low-level
Sashleyfuck,2019,,turing complete,,,languages; brainfuck derivatives; low-level; stubs
Hexar,2019,,,unimplemented,cell-based,languages
Pie,2019,,push-down automata,unimplemented,stack-based,languages; two-dimensional languages
Resource,2019,,,implemented,queue-based,languages; golfing language
Emojicode,2016,object-oriented paradigm,,implemented,,languages; high-level
Stable,2019,,unknown computational class,,stack-based,languages
Blyat,2019,,turing complete,,,languages
Human's mind have sex with someone,2019,,turing complete; turing tarpits,implemented,cell-based,languages; stubs; brainfuck equivalents; brainfuck derivatives; low-level
Here's to the crazy ones,2019,,,,,languages
Transceternal,2019,,turing complete,implemented,,languages
Rouedeux,2019,,unknown computational class,implemented,,languages
NeverGonna,2019,,turing complete,implemented,,languages; thematic
A?!,,,finite state automata,implemented,,thematic; languages
Acyclic Tag,2019,,turing complete; turing tarpits,output only; implemented,queue-based,languages; low-level
Oxcart,2019,,unknown computational class,no io,stack-based,languages
PTSL,,,,unimplemented,stack-based,languages; low-level
Kill,2019,,finite state automata,implemented; unusable for programming,,languages
The Program Is Mostly Ignored,2019,,unknown computational class,no io; unimplemented,queue-based,languages; low-level
Seclusion,2019,,turing complete,implemented,,languages
Nine,2019,,turing complete,implemented,,languages
NFuck,2019,,turing complete; turing tarpits,implemented,multi-dimensional languages; cell-based,languages; brainfuck derivatives; low-level
BrainCurry,,functional paradigm,,implemented,,brainfuck derivatives; languages
StuLa,,,,implemented,,languages
Earfuck,,,turing complete; turing tarpits,unimplemented,cell-based,languages; brainfuck derivatives; low-level
Unsquare,,,,implemented,stack-based,languages
BIX Queue Subset,2019,,turing complete; unknown computational class,no io; implemented,queue-based,meta-languages; low-level
4DChess,2019,,linear bounded automata,implemented,multi-dimensional languages,languages; brainfuck derivatives
Treesolang,,functional_paradigm,turing complete; turing tarpits,,,languages
Exp,2019,,finite state automata,implemented; total; unusable for programming,,languages
Theseus,2014,functional paradigm,turing complete,implemented,,languages
Orca,,,,implemented,,languages; two-dimensional languages
The Temporary Stack,2019,,,implemented,stack-based,languages
USERA,2019,,,output only; implemented,,languages
Tttt,,,,implemented,cell-based,languages
Ttttt,,,,implemented,cell-based,languages
Bubbles,2019,,turing tarpits,no io; unimplemented,,languages
Zed,2019,,unknown computational class,implemented,stack-based,languages; brainfuck derivatives
Baba is program,2019,,turing complete,implemented,,languages
Monolog,,,,implemented,,languages
Deutsch,,,,,,languages
